origin_country,total_aircraft,airborne_count,grounded_count,avg_velocity,median_velocity,min_velocity,max_velocity,avg_velocity_kmh,high_speed_aircraft,airborne_percentage,grounded_percentage,traffic_rank,velocity_rank
Sri Lanka,4,4,0,236.5,232.5,231.58,249.41,851.4,0,100.0,0.0,49,8
Sweden,72,62,10,158.2,200.5,0.06,260.23,569.51,2,86.11,13.89,18,76
Switzerland,86,71,15,136.06,160.78,0.0,262.28,489.82,3,82.56,17.44,17,91
Syrian Arab Republic,4,4,0,211.08,220.26,147.4,256.41,759.91,1,100.0,0.0,49,30
Taiwan,29,27,2,234.65,254.3,1.54,282.93,844.73,18,93.1,6.9,31,10
Thailand,25,25,0,203.74,221.17,97.33,285.12,733.46,5,100.0,0.0,33,34
Trinidad And Tobago,2,2,0,219.89,219.89,210.85,228.93,791.6,0,100.0,0.0,51,22
Tunisia,10,9,1,192.03,227.9,2.06,250.38,691.32,1,90.0,10.0,44,48
Turkey,280,259,21,203.22,229.22,0.0,2150.63,731.59,59,92.5,7.5,6,35
Turkmenistan,2,2,0,253.09,253.09,252.85,253.33,911.12,2,100.0,0.0,51,2
Ukraine,4,4,0,242.08,244.5,232.45,246.87,871.5,0,100.0,0.0,49,4
United Arab Emirates,143,137,6,208.9,235.94,0.0,278.67,752.03,42,95.8,4.2,13,31
United Kingdom,533,488,45,181.95,224.81,0.0,310.84,655.03,38,91.56,8.44,2,56
United Republic Of Tanzania,1,1,0,100.14,100.14,100.14,100.14,360.5,0,100.0,0.0,52,101
United States,6940,6381,559,129.88,113.98,0.0,301.16,467.58,398,91.95,8.05,1,94
Uzbekistan,7,7,0,223.25,243.2,102.62,320.36,803.71,2,100.0,0.0,46,19
Venezuela,3,3,0,154.98,165.25,56.83,242.85,557.92,0,100.0,0.0,50,78
Viet Nam,14,13,1,213.99,242.28,2.06,260.28,770.37,4,92.86,7.14,40,27
